	genotype
KX547580_2008.6148_USA_NY_Niagara_-78.969965_43.23472	WN02
KX547581_2003.5726_USA_NY_Putnam_-73.778454_41.438432	WN02
KX547582_2010.4986_USA_NY_Rockland_-74.028442_41.225557	WN02
KX547583_2004.4235_USA_NY_Suffolk_-73.340412_40.642605	WN02
KX547584_2002.6795_USA_NY_Chemung_-76.83716_42.175741	NY99
KX547585_2009.6685_USA_NY_Albany_-73.99548_42.632175	SW03
KX547586_2002.7151_USA_NY_Dutchess_-73.82711_41.930579	WN02
KX547587_2006.5863_USA_NY_Suffolk_-72.615409_40.927908	WN02
KX547588_2004.653_USA_NY_Kings_-73.871975_40.624417	WN02
KX547589_2007.6438_USA_NY_Queens_-73.903076_40.561539	WN02
KX547590_2004.6885_USA_NY_Queens_-73.835794_40.590896	WN02
KX547591_2004.6694_USA_NY_Rockland_-73.977341_41.163515	WN02
KX547592_2003.6384_USA_NY_Albany_-73.759767_42.780627	WN02
KX547593_2003.7397_USA_NY_Washington_-73.621233_43.518348	WN02
KX547594_2013.5781_USA_NY_Westchester_-73.702999_40.944258	WN02
KX547595_2007.6411_USA_NY_Dutchess_-73.692458_41.613016	WN02
KX547596_2005.6082_USA_NY_Suffolk_-72.118446_41.201764	WN02
KX547597_2004.7022_USA_NY_Richmond_-74.112386_40.592552	WN02
KX547598_2009.6712_USA_NY_Dutchess_-73.91804_41.796009	WN02
KX547599_2005.7425_USA_NY_Westchester_-73.762106_40.878185	WN02
KX547600_2010.6986_USA_NY_Rensselaer_-73.701509_42.614462	WN02
KX547601_2010.6027_USA_NY_Nassau_-73.657803_40.622333	WN02
KX547602_2000.6667_USA_NY_Westchester_-73.705014_40.942209	NY99
KX547603_2002.7178_USA_NY_Saratoga_-73.776282_43.078872	WN02
KX547604_2013.6548_USA_NY_Erie_-78.94299_43.030284	WN02
KX547605_2004.5246_USA_NY_Lewis_-75.360348_43.906749	WN02
KX547606_2008.582_USA_NY_Rockland_-74.005544_41.070004	WN02
KX547608_2009.6466_USA_NY_Erie_-78.980556_43.018226	WN02
KX547610_2004.6066_USA_NY_Monroe_-77.978783_43.366159	WN02
KX547611_2009.6521_USA_NY_Columbia_-73.854474_42.161358	WN02
KX547613_2003.6521_USA_NY_Suffolk_-72.107763_41.206356	WN02
KX547614_2005.5096_USA_NY_Erie_-78.72166_43.033449	WN02
KX547615_2006.5644_USA_NY_Suffolk_-73.418722_40.620845	WN02
KX547616_2007.7178_USA_NY_Kings_-73.870099_40.618003	WN02
KX547617_2003.6493_USA_NY_Orange_-74.22629_41.511903	WN02
KX547618_2003.7315_USA_NY_Ulster_-74.167868_41.964715	WN02
KX547619_2002.6192_USA_NY_Onondaga_-76.167951_43.047829	WN02
KX547620_2002.6575_USA_NY_Jefferson_-76.407011_43.910136	WN02
KY216152_2012.541_USA_NY_Suffolk_-73.342466_40.638365	WN02
KY216153_2012.5628_USA_NY_Suffolk_-73.182252_40.656453	WN02
KY216154_2012.5628_USA_NY_Suffolk_-72.348466_41.073054	WN02
KY216155_2012.5792_USA_NY_Suffolk_-73.337792_40.642101	WN02
KY229069_2012.5984_USA_NY_Suffolk_-73.395487_40.638302	WN02
KY229070_2012.6038_USA_NY_Suffolk_-73.298655_40.644134	WN02
KY229072_2012.6175_USA_NY_Suffolk_-73.154202_40.917205	WN02
KY229073_2012.6366_USA_NY_Suffolk_-73.356505_40.640405	WN02
KY229074_2012.6366_USA_NY_Suffolk_-73.373712_40.63121	WN02
MG004528_2015.4356_USA_AZ_Maricopa_-113.262841_33.069923	WN02
MG004533_2014.4192_USA_AZ_Maricopa_-112.170039_33.333104	SW03
MG004536_2016.6475_USA_AZ_Maricopa_-112.711307_32.547997	WN02
MG004537_2014.6548_USA_AZ_Maricopa_-112.321247_33.431671	SW03
